id,kood,nimi,markus,sort,tase,jrk
1918,013001016,Naise peksmine,VK XI 373. Naise peksmine,2,3,
1919,006006007,Suvel kuigutan kuressa,lõikus ja talgulaulude motiiv,2,3,
1920,007001006,Jõin murekarika,"ERlA 1210. Jõin murekarika: tuntud üle maa, eriti populaarne Põhja-Eestis (vrd. 1194 «Kurvaks kasvatatud», teatav paralleel sellele). Liitub mitmeti teiste murelauludega. Tavaliselt on algusse põimitud laulmise motiiv, kuid esineb ka ilma selleta. Liitub sageli lauluga 127 («Suu laulab, süda",2,3,
1921,012015008,Kas on hobust neidu viia?,"ERlA 2641. Kas on hobust neidu viia: eP tuntud, siia liituvad sageli laulud «Isal ise hobused» (ka iseseisvalt tuntud), «Valmis neiu, valmis vakk». Vrd. 2747 — tüpoloogiliselt lähedased. Laulavad mõrsjapoolsed.",2,3,
1922,007005009,Uhke enda üle,"ERlA 1125. Uhke enda üle: tuntud laial alal Ida-Eestis ja Mulgimaal, üleskirjutusi hõredalt. Puhuti seostub lauludega neiu (ja nooriku) kiituseks ning ülistuseks. Vrd. lauluga 1260 («Ei hooli uhkeist»), teatav sisuline paralleelsus.",2,3,
1923,012005010,Otsid hobuse vorsti,ERlA 2391. Otsid hobuse vorsti: haruldane. Laulavad mõrsjapoolsed,2,3,
1924,008003090,Tütar mõisas,"ERlA 1316. Tütar mõisas: Mulgimaal tuntud eepilise arendusega laulutüüp. Levikuala keskus Krk, Hel, Pst, Vil kihelkonnad. Kontaminatsioonidest traditsiooniliseks saanud ühendus motiiviga «Neiud lähevad ära» (esineb vaadeldavas laulutüübis sissejuhatava motiivina). Motiiv näit. tüübis 2",2,3,
1925,005001032,Nukumäng,"ERlA 478. Nukumäng: tuntud üle Eesti. Väga populaarne. Mängitud ringis, mängu lõpus jooksmine. Mängiti jaanitule ääres. A — üldiselt tuntud «Nukumäng». Ehtimismotiivi vrd. pulmalauluga 2366 («Ehi, veli!»). B — mõningad kirjapanekud (Lõuna-Eestist) näitavad, et «Nukumängu» on",2,3,
1926,002001058,"Lugu, nagu lauldud","ERlA 63. Lugu, nagu lauldud: sellisena haruldane; motiivina populaarsem, esineb tihtipeale laulu lõpuosana (eriti laulutsüklis, mis koosneb lauludest laulust ja laulikust).",2,3,
1927,012007006,Neidu pole kodus,"VK XI 319. Neidu pole kodus: VK VII 31, VK VIII 564, VK X 91, ERlA 2450; Neiut pole kodu – VK III 195, VK IV 245; Neiut pole kodus – VK VI 801.",2,3,
1928,012007012,"Ära valeta, neiul muud põhjused","ERlA 2451. Ära valeta, neiul muud põhjused: eP tuntud, peiupoolsete vastused eelmisele laulule. Siin on tekstide~üksikvariantide tüpoloogiline iseseisvus suur (võiks lugeda neid eritüüpideks), puhuti on kasutatud siin motiive eelmisest laulust, puhuti mujaltki (eriti pilgetest",2,3,
1929,012022001,Tulge kuud kummardama,"ERlA 2793. Tulge kuud kummardama!: eP tuntud. Kutse põlle lappima, s. o. raha põllesse viskama. Liitub järgmise lauluga.",2,3,
1930,012032001,Kukkur ei kuule sõna,"ERlA 2884. Kukkur ei kuule sõna: haruldane. Lauldakse siis, kui võidu raha panemisel ühel poolel rahavara lõppes.",2,3,
1931,012025014,Nurgas on ümbrikud,ebatraditsiooniline arendus?,2,3,
1932,014004005,Kes meile tuli,ERlA 3179. Kes meile tuli: haruldasepoolne laul,2,3,
1933,016001001,Itk vellele,,2,3,
1934,008003043,Kuri kupjapõli,"ERlA 1407. Kuri kupjapõli: eP tuntud, üleskirjutusi võrdlemisi vähe. Vrd. 1303 («Hirmus mõis»); liitub ka lauluga 1335 («Kättemaks sakstele»).",2,3,
1935,006005028,Otsas on õlu punane,ERlA 774. Mis meid otsas ootab : tuntud ka nimetuse all «Lõikuse õlu» redaktsioon: A Otsas on õlu punane,2,3,
1936,012025019,Tooge näha,omaloominguline arendus?,2,3,
1937,012015006,Jäta jumalaga,omaloominguline arendus?,2,3,
1938,017002003,Ilolaul,kirjanduslik (Kanteletar)?,2,3,
1939,011001044,Sea harjastest habemed,inetu ja võõta poisi motiiv,2,3,
1940,017002009,Karjapoiss on kuningas,"H. Heine luuletus, mis J. Hurda tõlkemuganduses saanud populaarseks pealkirja all «Karjapoiss on kuningas»",2,3,
1941,011001028,Paljakas,ERlA 2155. Paljakas,2,3,
1942,008003059,Naised käivad mõisateed,VK XI motiiv,2,3,
1943,007003043,Sõrmed sõimatakse,VK XI motiiv,2,3,
1944,005006016,Lellelt tuld toomas,VK XI motiiiv,2,3,
1945,005006023,Mitu tööd,VK XI 111. Mitu tööd: ERlA 1034.,2,3,
1946,011006087,"Võta mulle naine, muidu...",ERlA nr 2131,2,3,
1947,003009112,Siga suvel suureline,ERlA 333. SIGA SUVEL SUURELINE,2,3,
1948,008003007,Härrad ilusad valla vaevast,ERlA 1349. HÄRRAD ILUSAD VALLA VAEVAST,2,3,
1949,010005001,Asjatult loodud,ERlA 1189. ASJATULT LOODUD: A. Ennem loonuks puuks; B. Asjatult loodud rikaste risuks,2,3,
1950,003009107,Rähn ja siga,ERlA 328. RÄHN JA SIGA,2,3,
1951,011003062,Öeldi hooraks,,2,3,
1952,012005017,Tulge tuppa tuisu eest!,"ERlA 2416. TULGE TUPPA TUISU EEST!

",2,3,
1953,012007005,Neid on kambris,ERlA 2453. NEID ON KAMBRIS,2,3,
1954,005004026,Sain teele - hakkas sadama,ERlA 1037. SAIN TEELE - HAKKAS SADAMA,2,3,
1955,011006060,Nõu kosjasõitjale,ERlA 2363. NÕU KOSJASÕITJALE,2,3,
1956,013002065,Tulle oleks visand viinatoobi,ERlA 3049. TULLE OLEKS VISAND VIINATOOBI,2,3,
1957,013002013,Isa- ja mehekodus,"laulurühm, vajab edasist täpsustamist!",2,3,
1958,012007008,Neiu tahab taganeda,ERlA 2455. NEIU TAHAB TAGANEDA,2,3,
1959,007003025,Oma ema ja võõrasema söök,ERlA 1636. OMA EMA JA VÕÕRASEMA SÖÖK: A. Annab süüa - haugutab; B. Annab pala - ütleb palju,2,3,
1960,007003013,Käseb tules magada,ERlA 1632. KÄSEB TULES MAGADA,2,3,
1961,011001047,Siin pole sinu oma,ERlA 2208. SIIN POLE SINU OMA,2,3,
1962,008005005,Keedeti kingaleent,ERlA 1518. KEEDETI KINGALEENT,2,3,
1963,008005031,Riknenud toit - orjale,ERlA 1519. RIKNENUD TOIT - ORJALE.,2,3,
1964,008005019,Orja toit - umbrohi,ERlA 1520. ORJA TOIT - UMBROHI,2,3,
1965,017002020,Lauludest pole palju pattu,,2,3,
1966,011003019,Maksaks palju,ERlA 2046. MAKSAKS PALJU,2,3,
1967,013001004,Kole naine,,2,3,
1968,008003032,Kubjas võõrusele,ERlA 1421. KUBJAS VÕÕRUSELE,2,3,
1969,002001085,Pulmades laulikuks saanud,ERlA 59. KUST LAULUD SAADUD: B. Pulmades laulikuks saanud,2,3,
1970,002001019,Järg tulevasteks pühadeks,ERlA 134. JÄRG TULEVASTEKS PÜHADEKS,2,3,
1971,008003019,Korgi Niuhka,ERlA 1363. KORGI NIUHKA,2,3,
1972,013002009,"Hea kui tui, kuri kui kurat","ERlA 3045. HEA KUI TUI, KURI KUI KURAT",2,3,
1973,002001028,"Laula, kuni elad!","Laula, kuni elad!: VK IX 232, VK X 124,VK XI 30,  ERlA 49; Paras laulu aeg – VK II 1; Laula! – VK V 172, ERlV V 1; Laula, suukene! – VK VI 563, VK VIII 391.",2,3,
1974,012027013,Orust orik,"ERlA 2486. Orust orik: eL tuntud; populaarne laul. Esineb aga muuski seoses, kosjateemalistes lauludes ja abielulauludes (vt. 3100, eriti red. C) ning motiivina mujal pulmalauludeski (vt. 2392, red. B). Laulavad mõrsjapoolsed (eriti, kui peig oli vana).",2,3,
1975,006005025,Mis meid otsas ootab?,"ERlA 774. Mis meid otsas ootab: tuntud ka nimetuse all «Lõikuse õlu». Levinud üle maa, eriti aga eP. A. Otsas on õlu punane — eP ja Otepääl; B. Ehk on piitsad ootamas — orjuslaululine arendus, eP tuntud; C. Otsas verd valatakse ",2,3,
1976,011001021,"Neiud põlgavad, pole ehteid","ERlA 1979. Neiud põlgavad, pole ehteid: tuntud üle Eesti (välja arvatud kagus). Lääne-Eestis ja eP arenenud korduslauluks.",2,3,
1977,006008073,Sarved sepa kätte,"motiiv, kus sarved viiakse sepale, et see teeks midagi: sarvepilli, luua, sadule vm",2,3,
1978,012005007,Loomad ootavad pulmi,VK XIII 499.,2,3,
1979,014001013,"Uni, tule huilates!","ERlA 3130. Tule, uni! A-red",2,3,
1980,015001001,Lepatriinu,,2,3,
1981,008004002,Erastvere irvikud,Erastvere on küla Kanepi khk,2,3,
1982,010002001,Aitüma imetamast,ERlA 1820. AITÜMA IMETAMAST,2,3,
1983,015004001,Aitüma saunakütjale,vrd ERlA 947. TÄNU SAUNA EEST,2,3,
1984,012004001,Ajame üle aia,ERlA 2381. AJAME ÜLE AIA.,2,3,
1986,012031005,Kaasikutel pikad karvad,ERlA 2916,2,3,
1987,012031002,Hõõrutate vöö tõttu,ERlA 2926,2,3,
1988,012031006,Kaasikutel suured sääred,ERlA 2916,2,3,
1989,004004005,Kadril kivine kõht,,2,3,
1990,006011011,Karjane ajab karja kaugele,,2,3,
1991,012015007,Kas omaksed nutavad,ERlA 2673.,2,3,
1992,012016004,Kas on tugev toobrile?,ERlA 2731. KAS ON MINI MEELEPÄRANE? A. Kas on tugev toobrile.,2,3,
1993,012016014,Tuuakse tuline kurat,ERlA 2739,2,3,
1994,003009052,Kass kambrisse,,2,3,
1995,012015009,Kas võib minna miniaks?,Veera Pino Karula tüpoloogias,2,3,
1996,011006024,Kelle meelimari,Veera Pino tüüp,2,3,
1997,012027005,Kas on neiu poistest puhas,ERlA lt 2510,2,3,
1998,009001023,Sõjasõnumid,Tihti Venna sõjaloo alguses,2,3,
1999,010001044,Tütar kodus,"ERlA 1856. Tütar kodus: üle maa tuntud. Pigem teatavate motiivide vabalt ühendatud põiming kui stabiilne, väljakujunenud laulutüüp. Eriti tihedalt seotud lauludega 1857 ja 1858 (samad põhimotiivid korduvad kõigis kolmes laulutüübis). Liitub siia muidki motiive kodu- ja lapsepõlvelauludest. Siinseid motiive kohtame sageli ka vaeslapselauludes ja abielulauludes (vt. näit. 3104, 3101 jt.) Vt. 1881, 2139. Vististi on siit lähtunud 3033.",2,3,
2000,006004025,Tore kündja,ERlA lt 736. TORE KÜNDJA.,2,3,
2001,006004026,Tule mulle kündma!,ERlA lt 720. TULE MULLE KÜNDMA!,2,3,
2002,007005005,Haigud,"ERlA 1101. Haigud: tuntud Kuusalus ja Mulgimaal; liitub sageli lauludega 1102 («Uni ei anna uuta kuube») ja 1106 («Uni, mine külasse!»).",2,3,
2003,011001004,Ilmatark,"ERlA 1932. Ilmatark: üleskirjutusi on hõredalt, ent leitud üle maa. Vrd. Imetegija. Tegelaseks on enamasti siingi ainus vend, harvemini minu isa.",2,3,
2004,007003002,Avanenud hauad,"ERlA 1602. Avanenud hauad: tuntud Saaremaal, Edela-Eestis ja Mulgimaal, sporaadiliselt ka mujal. Redaktsioon B ulatub Mulgimaalt Tartumaale (noteeringuid leitud Ran, Ote, Nõo, Pal, Trm kihelkondadest). Ulatuslikumasse A-redaktsiooni, mille oluliseks osaks on vaeslapse ja surnud sugulaste kõnelused, on tihti täiesti orgaanilise koostisosana põimitud elemente laulust 1591 («Vara vaeslapseks»). Väga sageli liitunud laulutüübiga 1601 («Ema haual»). Kokkupuuteid ka mõnede teiste vaeslapselauludega.",2,3,
2005,008005009,Laisk perenaine ei viitsi võid teha,Veera Pino tüübinimi,2,3,
2006,012033001,Lapulisele,Veera Pino määratlus,2,3,
2007,013002068,Vanamees tahtis liha,,2,3,
2008,014004008,Lase trikk tulla!,"pillilugu, hüpitus?",2,3,
2009,011005014,Leidsin lina,Veera Pino määratlus,2,3,
2010,011005005,Kolm neidu,,2,3,
2011,005001021,Laulumäng,puhvertüüp,2,3,
2012,004006002,Leina lihavõte,Veera Pino määratlus,2,3,
2013,007003015,Lind lohutamas,"ERlAs motiivina, Veera Pino tüüp",2,3,
2014,011004008,Läila lesele minna,ERlA 2317. Läila lesele minna: Lõuna-Eestis tuntud laul. Siia liitub motiiv laulust 2120 («Öösel üksi»).,2,3,
2015,010007,Poeg,"Poja kasvatamisega seonduv, poja seisund perekonnas",1,2,
2016,010007001,Ema kasvatas poega,"ERlA 1879. Ema kasvatas poega: Kagu-Eesti lõunaosas tuntud, lokaalne laulutüüp (Urv, Krl). Motiiv esineb ka pulmalauludes (vt. 2919 «Velle vihtumine»).",2,3,
2017,011005011,Kurnimängijad,"provisoorne tüüp, kurnimängimise seos kosjandusega",2,3,
2018,007003056,Võõrasema sajatus,,2,3,
2019,011006049,Mis sul viga mulle tulla,ERlA 2333. Mis sul viga mulle tulla: tuntud peamiselt Lääne- ja Edela-Eestis. Esineb puhtalt (läänes) ja ka liitunult (lõunas). On kaks arendust: A. Õue käivad laevad ja B. Sead söövad siigasid. Mõlemad arendused võivad ka liituda (C). Laul on tegelikult lähtunud tüübist 980 («Meri õue all») või on sellele väga ligidane arendus. Lauldud pulmades vastuseks tüübile 2470.,2,3,
2020,011001019,Muidu mees,Veera Pino määratlus,2,3,
2021,011006083,"Vaatab, kust kosjad tulevad","ERlA 2233. Vaatab, kust kosjad tulevad: haruldane (eL leitud kolm teisendit).",2,3,
2022,011006014,Jäägu koju kopitama,motiiv,2,3,
2023,005002011,"Muud mooriga, mina vaariga","Veera Pino määratlus, kas labajalg?",2,3,
2024,012016012,Mõrsja - virk kuduja,Veera Pino määratlus,2,3,
2025,015004017,Naba paika!,"ERlA 3267. Naba paika!: tuntud Lõuna-Eestis (eriti kagus) ja Audrus. Loetud kõhuvalu puhul (kui «naba on ära karanud»). Põimub sageli eelmise lauluga. Esimene kirjapanek juba a. 1632 (kohtuprotokollides) — vt. H. Tampere, Eesti rahvalaule viisidega I, Tallinn 1956, 65.",2,3,
2026,002001073,Neiu hääl,Veera Pino määratlus,2,3,
2027,011003005,Ilusad juuksed,"ERLA 2039. Ilusad juuksed: eL tuntud ja populaarne. Vrd. ühelt poolt lauluga 17 («Pea piiramine»), teiselt poolt lauluga 1811 («Kallis kasvupõli»). Sisult — neiupõlve tagakurtmine. Puhuti liitub eelmise lauluga (ERlA 2038. Neiu juuksed kumavad kuuna).",2,3,
2028,011006005,Ei lähe sulasele,,2,3,
2029,007001014,Noorena võtsin kirbu kinni,"ERlA 1916. Noorena võtsin kirbu kinni: tuntud Ida-Eestis, eriti lõunapoolsemal alal, ulatub Tarvastussegi. Populaarne laul. Sisult humoristlik, nukra varjundiga.",2,3,
2030,012028004,Jäta kodu kolmed kombed!,ERlA 2686. Jäta koju kolmed kombed!: tuntud üle maa (eriti eL). Vrd. «Tulgu siidisõrmine» — sageli põimuvad üheks lauluks. Samu motiive esineb ka mõrsja pilgetes (vt. 2511). Peiupoolsete laul.,2,3,
2031,012028003,Jookse koju tagasi!,"ERlA 2702. Jookse koju tagasi!: lokaalne laul, tuntud Harglas, seal populaarne. Vrd. 3116 («Kaugel mehel»).",2,3,
2032,003009083,Käost käterätt,ERlA 225. Käost käterätt: tuntud Lõuna-Eestis. Eriti populaarne Kagu-Eestis. Kummaline fantaasia.,2,3,
2033,012027008,Kinnast kiitsid,Veera Pino määratlus,2,3,
2034,012025023,Veimede tunnistelemine,"ERlA 2831. Veimede tunnistelemine: eL tuntud laul, põimub eriti eelmise lauluga (2830. Kukeni kudunud), vähemal määral liitub siia muid kiituse-laituse motiive. Kohandatud kord küsimuseks, kord kiituseks või laituseks ja seetõttu kasutatav mõlema pulmaliste rühma poolt. Palju eriarenguid, kas lokaalsete motiividega või tuntud motiivide iseloomuliku seostusega. Üleminek vastavatele Kesk-Eesti lauludele pole selgesti piiriteldav.",2,3,
2035,006009059,Särgi vanutamine,"Veera Pino pakub: Vanu, vanu, särgikene!",2,3,
2036,011001023,"Näe, kus näägutaja","ERlA 1139. Näe, kus näägutaja: haruldane, vrd. lauluga 753 («Etterutanud lõikajale»).",2,3,
2037,010001005,Inetu talu,,2,3,
2038,008004013,"Oh te hullud, Hummuli rahvas!",,2,3,
2039,008004018,Sõi sea söögi,"VK VIII 294, VK X*, VK XI 194, VK XII 203.",2,3,
2040,015004023,Roosisõnad,,2,3,
2041,007003050,Vaeslaps nutab lihast linna,"ERlA 1598. Vaeslaps nutab lihast linna: esineb Põhja-Eesti keskrannikul. Pigem motiiv kui iseseisev tüüp. Tuleb ette koos lauludega (~motiividega) 1603 («Kaks vaeslast»), 1601 («Ema haual»), «Meeletu nutab mehi» (viimast motiivi on ühenduses oma kodukoha ülistusega ja lauluga «Ema haual» noteeritud ka Kesk-Eestist — Pai, Tür). Vrd. 1280 («Itken endist orjapõlve») ja 1812.",2,3,
2042,011001057,Ööhulkuja,"ERlA 1992. Ööhulkuja: eP tuntud, puhuti liitub siia 1987. Ühiseid motiive lauluga 1357 («Tilluke teomees»).",2,3,
2043,011001025,Oleksin Olevi,"ERlA 1937. Oleksin Olevi: eP noteeritud mõningaid teisendeid, üks väheseid laule, kus stabiilselt esineb Kalevi ~ Kalevipoja nimi. Liitub sageli laulu 2002 («Võtaks naise, kardab last») algusse. Vt. E. Laugaste, Kalevi (Kalevipoja) nime esinemisest eesti  rahvalauludes. KK 1959, 202—208 ja 274—282.",2,3,
2044,002002010,Ole vait!,,2,3,
2045,007003006,Ema ootab koju,,2,3,
2046,012027014,Ostis hoiumetsa,,2,3,
2047,005001037,Palgamaksmise mäng,Hollandi sulase mänguversioon,2,3,
2048,013002053,Paljuks pannakse,"Veera Pino määratlus, Nooriku kaebus",2,3,
2049,013002028,Kurjal mehel,,2,3,
2050,008003070,Saagu saksad santima,"ERlA 1336. Saagu saksad santima: levikuala keskus Kagu-Eesti (Lõuna-Tartumaa ja Võrumaa). Siit ulatub lääne suunas Viljandi- ja Pärnumaa lõunaossa. Tekkekeskuses napisõnaline, kontsentreeritud sajatus, lähedane loitsule; perifeeriaaladel põimitud sageli ühe motiivina ulatuslikumatesse sakste kättemaksulaulu variantidesse. Sel puhul võib täheldada kokkupuutepunkte sakste kättemaksulaulu (1335) B-redaktsiooniga Oleks minu olemine, paneksin saksad tööle. Liitub sageli laulule 1314 (Miks panid mõisad põlema:).",2,3,
2051,012027015,Peig hästi kasvatatud,vrd Ema hästi kasvatanud,2,3,
2052,012016013,Tuleb tuld lüües,ERlA 2740. Tuleb tuld lüües: Kagu-Eestis tuntud (vrd. 2739. Tuuakse tuline kurat — on põhjust ka üheks tüübiks lugeda). Paralleel laulule «Mini tuuakse tuppa». Laulavad kodused. Vrd. 3021 («Kuri minia»).,2,3,
2053,012027016,Peig on vana,,2,3,
2054,010007008,Poegade ja tütarde ema,Veera Pino määratlus,2,3,
2055,012004004,Sea särgisiilud,"ERlA 2378. Sea särgisiilud: pealevikuala on Kagu-Eesti, tuntud ka naaberaladel, eriti Mulgimaal. Puhas ja stabiilne laulutüüp. Puhuti liitub teiste sõidulauludega. Lauldud ka õpetusena peiule enne teeleasumist.",2,3,
2056,007002005,Poisid leinavad neidu,"ERlA 1235. Poisid leinavad neidu: Mulgimaal tuntud. Vrd. laulutüüpidega 173
(«Vili võetud») ja 1601 («Ema haual»), näikse olevat kontaminatsiooniline arendus neist kahest
tüübist. Vt. ka 2141 Poisid kurvad — neiud surnud (tüpoloogiliselt kuuluvad ühte).",2,3,
2057,011001032,"Poisid, pool-juudad",vrd Poisid joovad kuradi kust,2,3,
2058,011003050,"Poistemagataja itkutares, karske ilutares","Veera Pino määratlus, vrd Karske neiu",2,3,
2059,002001084,Pole oma kuulamas,Veera Pino määratlus,2,3,
2060,007003039,Pole söödil sündinud,Veera Pino määratlus,2,3,
2061,012003006,Pulmahobu valimine,"ERlA 2368. Pulmahobu valimine: lõuna-eestiline (eriti Kagu-Eestis tuntud) laulutüüp. Laulus kajastub
uskumus, et pulmahobu värvus mõjustab noorpaari tulevast elu (eriti tuli vältida musta hobust). On
sageli tsükli aluseks, liites enesega teisi laule, peamiselt 2366 («Ehi, veli!»).",2,3,
2062,012031004,Kaasik saani reostanud,"ERlA 2915. Kaasik saani reostanud: tuntud laul, laulavad vastuvõtjad tulijate pilkeks. Liitub kergesti teiste kaasitaja pilgetega",2,3,
2063,012003001,"Ehi, veli!","ERlA 2366. Ehi, veli!: haruldasepoolne, esineb eL mõnedes tsüklites. Vrd. lauluga 2630 («Ehi, neiu, saaks minema»), eriti red. C (paralleeltüüp sellele või sealt lähtunud juhuslik arendus) ja 478. Esineb peamiselt koos lauluga 2368 («Pulmahobu valimine»). Lauldud peiukodus.",2,3,
2064,013001018,Puutus puusatu ette,"ERlA 2973. Puutus puusatu ette: ülemaaliselt tuntud, ent pigem populaarne pilkemotiiv kui iseseisev laul. Väga mitmes seoses tuntud: vennanaise pilkena (1911), ähvardusena poisile — saad kaugelt ja koleda (vt. 1962 ja 2222), pulmalauluna (2529 — «Näotu naine»). M. Haavio, «Etzei Suomen sorkeinda». Virolais-länsisuomalainen muinaisruno. KsVk 14, 22—49.",2,3,
2065,012007009,"Põgene, neiu!","ERlA 2438. Põgene, neiu!: haruldasepoolne, Kagu-Eestis noteeritud mõned teisendid. Laul on seotud mõrsja peitmisega saaja saabumisel. Laulavad mõrsjapoolsed.",2,3,
2066,010001037,Raiu varik vahelt,Veera Pino määratlus,2,3,
2067,010001018,Kullast kodu,"ERlA 1788. Kullast kodu: haruldane, juhuslik improvisatsioon. vrd Tule mulle!",2,3,
2068,015004024,"Roos, mine sohu!",Veera Pino määratlus,2,3,
2069,012005011,Sandi saaja,"ERlA 2383. Sandi saaja: haruldane. Peiupoolsete kaasitaja esimene laul, kui jõuti mõrsjakodu (~pulmatalu) väravasse.",2,3,
2070,011001045,"Seapoiss, mis otsid sa",Veera Pino määratlus,2,3,
2071,010002027,Seni kui tütred kodus,"ERlA 1858. Seni kui tütred kodus: ülemaaliselt tuntud, sõnastuselt hajuv, ühendavaks on motiivid «seni tänaval tantsuringid» ja «seni õues õllesooned», vt. ka 1856 ja 1857. Motiivid tulevad ette ka pulmalauludes (mõrsja lahkumisel vanematekodust lauldud lauludes).",2,3,
2072,012005014,Suured soe metsad,Veera Pino määratlus,2,3,
2073,012005013,Suside summ,ERlA 2388. Tuleb suside summ: haruldane. Laulavad mõrsjapoolsed (ka vastusena laulule «Sirgujäljed»).,2,3,
2074,012005012,Siidised tulevad,"ERlA 2408. Siidised tulevad: tuntud üle maa, eriti eP (üldse vist idapoolsemalt tuttav). Laulavad peiupoolsed (isamees lööb mõõgaga vastu ust ja laulab). Sellele vastavad mõrsjapoolsed lauluga 2410. Paralleel järgmisele laulule. Liitub mitmeti, eriti vt. 525 («Vend tuleb tantsima») ja 1262 («Eest ära, rikkad tulevad!»). Kasutatud ka peiukodus, saajarongi saabumisel.",2,3,
2075,014004014,Tee mulle saan!,"ERlA 3177. Tee mulle saan: lõuna-eestiline laulutüüp, ulatub ka Kesk-Eestisse. Vrd. 849 («Saani
tegemine»), liitub puhuti lauludele 932 («Kassinahast kasukas») ja 2125 («Ratassäng»).",2,3,
2076,009002008,Sõjamehe armsad koju jäänud,"ERlA 1678. Sõjamehe armsad koju jäänud: haruldane. Vrd. 1677. Y. Penttinen registreerib selle «Venna sõjaloo» variandina (vt. Sotasanomat, 161).",2,3,
2077,015004029,Sõnad kahetuse vastu,"ERlA 3205. Sõnad kahetuse vastu: tuntud üle maa, noteeritud vähe. Vrd. lauludega 1140 («Ärge ära sööge!») ja 2730 («Ärge pange pajasse!»), vt. ka 106 («Ärge sööge mu sõnu»). Sõnad pahasoovliku tagarääkimise (n.-ö. ärasõnumise), aga ka «kurja silma» ja pahatahtliku kiitmise vastu. Kurja silma usk oli ülemaaline. Näit.: «Mõnel inimesel on silm paha. Ega ta ise teagi, aga ta on pahal tunnil sündinud.» — ERA II 125, 429 (25) < Jõhvi «Mõnel inimesel on seuke kade silm, et ta ei tahagi isi halba, aga ku ta teise inimese looma või asja vaatas, kohe olli rada taga. Mõni olli seuke aus, ütles ära, et tal seuke viga juures, sis täädsid üle ohutada, ku ta su majast või asja juurest läbi käis.» — ERA II 168, 594 (123) < Häädemeeste, 1937. Paha silma tõrjeks kasutati sõnu harva, enamasti olid käibel väga mitmesugused maagilise sisuga talitlused. Vt. ka M. J. Eisen, Kuri silm. EK 1927, 34—43 ja 153—160 T. Vuorela, Paha silmä suomalaisten p",2,3,
2078,012034002,Pulmaliste söömakutse,"ERlA 2568. Pulmaliste söömakutse: Mulgimaal tuntud. Lauldud peamiselt mõrsjakodus. Liitub
peamiselt lauludega 2575 ja 2943. Laulavad mõrsjapoolsed.",2,3,
2079,008003081,Teadnuks homme hukatavat,Veera Pino määratlus,2,3,
2080,013001023,"Tulgu laulma, kel hea naine","Vana kannel XI, lt 376",2,3,
2081,009001026,Viiakse soldatiks,,2,3,
2082,009001015,Soldati ase,,2,3,
2083,007003044,Tule linnuna järgi!,,2,3,
2084,013001010,Linnast kostitut ei julge koju tuua,,2,3,
2085,008003012,Juba teised söönud,,2,3,
2086,011003012,Kolm kupja tütart,,2,3,
2087,010003004,Neiu pilve pikkune,,2,3,
2088,002001032,Laulan mere maaks,,2,3,
2089,012016011,Mõrsja raske vedada,,2,3,
2090,007001002,Ema itkeb tütart,,2,3,
2091,007002004,Neiu surm,,2,3,
2092,010001012,Kodust kuiv särk,,2,3,
2093,007003020,Oleks vaksa valgem olnud,ERlA 1590. OLEKS VAKSA VALGEM OLNUD,2,3,
2094,007001004,Hool ja mure,"ERlA 1212. HOOL JA MURE pikk tüübiülevaade
Tähtsamad siin esinevad motiivid on: 1) muret mul, ei muud; 2) muret musta härja võrra; 3) mure ei lase magada; 4) mure teeb mustaks; 5) muretsen — murran meele; 6) mis maksab minu muretsemine; 7) oleks mure muude teada; 8) mõtlesin muret vähenevat; 9) õhtul hool õrrele; 10) muremägi. 
Hool ja mure: VK III 14, VK IV 374, VK X*, VK XIII 345, ERlA 1212.
murest kõnelevad laulud (KM-i registrites pealkirja all: «Mure», «Murelaul», «Muremäel», «Kurb laulik» ja «Suu laulab, süda muretseb» — kahes viimases seotud enamasti laulmise motiiviga ning seepärast viidud peatükki «Laulud laulust ja laulikust», vt. 127 ja 129) on tuntud üle maa (välja arvatud Lääne-Eesti); tihedamalt on üleskirjutusi põhjarannikult ja Mulgimaalt.

Need laulud on tegelikult kümmekonna murest kõneleva motiivi väga mitmeti ning erinevalt seotud liited — kontaminatsioonid, kusjuures peaaegu igas teisendis erineb niihästi kasutatud m",2,3,
2095,013001001,Armurohi,ERlA 2992. ARMUROHI,2,3,
2096,013002041,Naine nutab kärnase käsi,VK VIII: Naine nutab kärnase käsi,2,3,
2097,012005016,Tasa-targu äia õue,ERlA 2389. TASA-TARGU ÄIA ÕUE,2,3,
2098,007003019,Nutan kärnase käsi,ERlA 1618. NUTAN KÄRNASE KÄSI. vrdl VK VIII Naine nutab kärnase käsi,2,3,
2099,011008017,Vanapoiss istub leelõukal,ERlA 2010. VANAPOISS ISTUB LEELÕUKAL,2,3,
2100,007002010,Surmakoht teadmata,,2,3,
2101,011008005,"Mis sa vahid, vanapoiss!",,2,3,
2102,008003041,Kurat kupjaks,ERlA 1408. KURAT KUPJAKS,2,3,
2103,011005012,Kust poolt kosjad tulevad,,2,3,
2104,005001016,Käsikivi,,2,3,
2105,011004015,Neiu süda teadmata,,2,3,
2106,008003075,Saksa viha sõnad,,2,3,
2107,004002046,Kutse kiigele,,2,3,
2108,001001018,Tõbine naine,,2,3,
2109,008003065,Peks mõisas,,2,3,
2110,013002057,Riietus isa- ja mehekodus,,2,3,
2111,011001033,Poisid tundsid ära,,2,3,
